Age,Sex,Headlen,Headwidth,Neckgirth,Length,Chestgirth,Weight
NA,1,16,9,31.5,75,47,350
17,1,11.5,5,17,53,30.5,114
NA,1,12,8.3,18.5,60.3,32,122
70,1,15,6.5,28,78,45,334
8,2,10,4.5,10,43.5,24,29
NA,1,13.5,7,24.5,62,41,248
19,1,10,5,15,45,23,65
45,2,13,6.5,21,60,34.5,182
NA,2,12,6,19,53.5,32,122
19,2,11,6.5,20,47.5,24,70
NA,1,18.5,8.5,23.5,67.5,42,204
NA,1,16,7.5,28,73,45,316
NA,1,12,6,18,66.5,34,146
21,1,14.5,5.5,20,61,34,150
115,1,17,10,31.5,72,49,348
NA,1,13,6.5,20.5,60,36.5,154
10,1,9.5,4.5,16,40,26,65
53,2,12.5,6,18,58,31,144
19,1,11,5.5,16,53,26,80
NA,1,16.5,8.5,29.5,69,49.5,348
NA,1,12,6.5,18.5,55.5,27.5,110
17,2,11.5,5,15,52.5,28,76
82,2,13.5,6.5,28,64,48,356
56,1,15,7.5,26.5,73.5,41,262
55,1,16.5,9,28,67.5,45,344
NA,1,17.5,8,30,83,49,396
70,2,14.5,6.5,26,65,48,316
68,1,16,9,29,73,44,332
17,2,11,4.5,13,46,23,48
100,2,13,7,21,70,41,220
8,1,9,4.5,13,37,19,34
NA,2,12,6,19,57,34.5,148
NA,1,12.5,6.5,18,60,30,130
NA,1,14.5,6,22.5,67,40,216
NA,2,14,7,21,66.5,37,160
10,1,11,5,17,49,29,94
104,2,15.5,6.5,22,62,35,166
NA,2,13.5,5,17,58,29,114
NA,1,12,4,17.5,59,28.5,128
18,1,12.5,8.5,18,57.3,32.8,140
10,1,11.5,5,17,47,29.5,86
70,1,15.5,7,28,76.5,55,446
83,1,15.5,8,30.5,75,54,514
32,1,14,5,21.5,67,37,180
NA,1,13.5,6,20,62,32.5,156
34,1,13,7,21,59,35,150
51,1,13.5,8,27,68.5,49,360
34,1,16.5,6.5,27,72,44.5,270
NA,1,17,8.5,30.5,79.5,48.5,368
44,2,12.5,4.5,10.5,63,32,140
NA,1,16,8,32,77,52,432
NA,1,15.5,7.5,25.5,73.5,43,324
34,1,14,5.5,24,65,39,202
20,2,11.5,5,17.5,52,29,105
NA,1,12,5.5,15,51,24,82
NA,2,13.5,5.5,19.5,61,35,158
NA,2,13,5.5,19.5,61.5,37,156
NA,2,13,6,17.5,61,33,135
NA,2,13.5,5,17,58,29.5,116
32,1,13,8,21.5,59,33,166
NA,2,13,6,22,61,40,230
NA,2,12.5,5.5,19,56,32,120
9,2,9,4.5,12,36,19,26
58,2,13.5,6.5,21.5,63,40,202
45,1,13.5,7,24,64,39,204
58,1,15.5,7,28,70.5,50,365
NA,1,13,5,18,55.5,30.5,122
NA,1,15.5,7,29.3,76,53,416
NA,2,12.5,6,19.5,58.5,32,142
11,1,11.5,6,16.5,48,31,79
NA,2,11,5,15.5,48.5,25.5,79
NA,1,12,5.5,18,54.5,32,116
21,1,13,6,19,59,30,120
81,1,15.5,8,31,72,54,416
17,1,11.5,5,17,50.5,28,90
NA,1,15.5,8,20,63,33,154
23,1,12,6.5,19,50,38,148
177,1,16,9.5,30,72,48,436
NA,2,12,5,19,58.5,33.5,114
NA,2,12,5,18,56,32.5,114
NA,1,14.5,7,22,67.5,38,196
57,2,12.5,5,19,57.5,32,125
NA,1,14.5,6.5,21.5,64,37,180
11,2,9,5,15,46,27,62
NA,1,15,8,26.5,71,42.5,302
83,2,14.5,7,23,61.5,44,236
NA,1,17,9,29.5,70,45.5,322
81,2,13,5,20,61,33,132
21,1,13,5,17,54,28,90
NA,1,13.5,8.5,23,63.5,44,212
NA,2,13,7,21,59,34,146
9,1,10,4,13,40,23,40
NA,1,14,6.5,21,63,35,198
45,1,16,6,24,63,42,220
16,1,10,4,15.5,48,26,60
9,1,10,4,13.5,43,23,46
57,2,13.5,7,20,64,38,204
16,1,10,5,15,41,26,64
33,1,13.5,6,22,66.5,34,154
NA,1,15.5,9,29,79,50,400
57,2,13,5.5,17.5,60.5,31,116
37,2,13.4,7.3,25,67.3,45.6,NA